Y,age35_twogrid,local_threegrid,people_threegrid,rich1_threegrid,road,internetj1500,entertainmentj1000,residentialj1000,atmj1500,hospitalj1500,non_local_twogrid,age25_threegrid
0.000974596,0.12568442,0.466791144,11247,0.00035565,30.29678871,0,1,25,32,7,0.567197611,0.296167867
0,0.125432756,0.44484647,10226,0.00039116,29.95174774,0,0,20,24,7,0.572037284,0.317915118
0,0.136541943,0.482382469,10359,0.000386138,31.08612045,0,0,21,22,7,0.520368135,0.317501689
0,0.171889839,0.531490015,10416,0.000384025,32.7023085,0,0,21,18,6,0.326495726,0.317780338
0,0.132558482,0.56367121,9392,0.000425894,34.69037445,0,0,20,16,6,0.412240694,0.240630324
0,0.130814415,0.542753184,8245,0.000485143,36.57559052,0,0,15,15,6,0.435148436,0.230563978
0,0.132673943,0.533868809,7470,0,37.53267319,0,0,8,14,2,0.435197817,0.231325301
0,0.130026306,0.532788061,6969,0,37.77381317,0,0,8,11,2,0.447200301,0.216386856
0,0.095796676,0.488865135,5613,0,37.8622731,0,0,0,8,2,0.569892473,0.218955995
1.125025742,0.200528368,0.401672971,18769,0,24.75640533,6,4,24,19,7,0.61705875,0.23863818
0.927040935,0.196288552,0.419522326,13482,0,25.27431343,6,4,13,17,7,0.610428646,0.255155022
0.70186862,0.193289104,0.45136072,13559,0,25.15602318,4,1,16,13,6,0.551671345,0.256656096
0.448497237,0.196117805,0.472873841,12405,0,24.94124382,2,1,19,6,1,0.444667559,0.258605401
0.220413467,0.1926097,0.561561928,8195,0,24.93271896,3,1,19,13,3,0.390993072,0.246369738
0.101080415,0.191813804,0.618210863,6260,0,28.15341759,3,1,19,16,4,0.34376672,0.267891374
0.09809832,0.18986637,0.672193437,5790,0,29.57450049,3,1,26,24,6,0.293986637,0.272884283
0.151769194,0.17721519,0.711719723,5623,0,31.08564545,3,1,37,26,6,0.240506329,0.272452428
0.230410009,0.168241966,0.767617689,7010,0.000570613,33.1463134,4,1,45,26,6,0.172442764,0.270328103
0.290720136,0.182994999,0.74853284,12439,0.000321569,35.46024353,3,2,39,24,5,0.218397568,0.289251548
0.308328467,0.184060895,0.739559605,13170,0.000303721,36.55285126,3,2,39,21,5,0.224688188,0.288154897
0.28184807,0.180432688,0.710015807,13918,0.000287398,36.3050595,2,2,39,34,8,0.246912499,0.278775686
0.215602465,0.177610334,0.666297262,15340,0.000260756,35.12295826,0,1,44,40,13,0.296555436,0.281225554
0.125994786,0.159979868,0.596068209,18414,0.000217226,33.61680222,0,1,39,41,13,0.418679896,0.302975997
0.048895833,0.146722725,0.565776165,16807,0,31.27012817,0,1,36,42,13,0.507330746,0.309870887
0.006181603,0.144080997,0.486123387,11314,0.000353544,29.26366745,0,1,30,38,11,0.513017356,0.302103588
0.000232249,0.144602851,0.467688835,10631,0.000376258,29.60702805,0,1,27,29,10,0.505930274,0.31097733
0,0.150088447,0.508976003,10918,0.000366367,30.59382736,0,0,27,26,10,0.4464553,0.31205349
0,0.18372093,0.556422351,11024,0.000362845,31.9717968,0,0,27,22,7,0.261129568,0.313860668
0,0.177670239,0.590139141,9918,0.000403307,33.74900574,0,0,23,18,6,0.248012444,0.243698326
0,0.177946768,0.564714135,8553,0.000467672,35.30698135,0,0,16,18,6,0.26730038,0.232433064
0,0.181001021,0.55590022,7737,0,36.38967484,0,0,9,17,6,0.269458631,0.233294559
0,0.172459893,0.550971557,7102,0,36.99973053,0,0,8,14,2,0.30855615,0.218811602
0,0.122857143,0.372473532,3117,0,37.69654526,0,0,0,2,0,0.688571429,0.161373115
1.743331664,0.204210725,0.419890826,20884,0,22.59174561,7,6,39,26,7,0.576283988,0.252442061
1.416870612,0.198746736,0.450466314,15333,0,24.10596657,7,4,20,27,8,0.577545692,0.273397248
1.068238732,0.193340129,0.48140757,15033,0,24.65002731,7,2,13,27,7,0.551817873,0.27679106
0.697017895,0.198137722,0.508831572,13531,0,24.76175529,7,1,13,31,6,0.470550022,0.279210701
0.375329849,0.193978396,0.620092503,9297,0,25.1599942,7,1,19,28,5,0.405883705,0.275142519
0.210396247,0.184803785,0.663370737,9001,0,27.21492822,5,1,21,23,5,0.353465071,0.264970559
0.207249359,0.183929525,0.707764823,8062,0,28.42971291,7,1,32,23,7,0.280832888,0.259737038
0.271855351,0.172903226,0.739880373,7189,0,30.07058182,7,1,47,28,7,0.223548387,0.257059396
0.37143522,0.165337056,0.788647787,8157,0.000490376,32.56501297,6,1,49,29,7,0.163542082,0.258550938
0.455354488,0.180091945,0.76194362,13480,0.000296736,34.29075256,6,2,45,30,7,0.209774136,0.282492582
0.493420998,0.178804898,0.749466648,14062,0.000284455,34.94444107,4,2,45,31,12,0.218672314,0.282605604
0.468885467,0.173756309,0.71772474,14539,0.000275122,34.65279434,2,2,43,43,21,0.241888969,0.277942087
0.376604821,0.174938064,0.669445151,15716,0.000254518,33.46825352,1,2,48,41,20,0.284584033,0.278696869
0.246861938,0.159531943,0.598989682,18608,0.000214961,31.76692179,2,1,46,43,20,0.40533469,0.301913156
0.112055676,0.150185414,0.570429859,17308,0,30.04835045,2,1,50,53,20,0.472805933,0.309221169
0.025527538,0.150223482,0.510008915,12339,0.000324175,28.82884079,2,1,44,55,19,0.47923253,0.297836129
0.001584685,0.15316881,0.50117218,11517,0.000347313,29.19275848,3,1,33,48,16,0.467732592,0.303811757
0,0.158026861,0.543238192,11772,0.000339789,30.40556694,3,2,34,46,13,0.409564453,0.303771662
0,0.189592993,0.589056251,11751,0.000340397,31.47667503,3,1,34,35,10,0.233556586,0.305846311
0,0.183270282,0.698546806,8877,0.000450603,32.79817253,1,1,31,32,10,0.218579235,0.258420638
0,0.18556701,0.684907205,7328,0.000545852,34.32929596,1,1,25,22,7,0.219931271,0.244950873
0,0.19128735,0.676945668,6129,0,35.59392349,0,0,12,20,7,0.223680536,0.250285528
0,0.177333333,0.66575939,5511,0,36.48715912,0,0,8,17,7,0.275111111,0.239339503
2.419915707,0.204876099,0.433619672,24563,0,21.14292671,7,10,52,35,10,0.534452438,0.243577739
2.007968917,0.204580283,0.460376532,18272,0,22.37831123,9,8,40,41,11,0.510727056,0.259960595
1.523818842,0.198880597,0.486650344,17154,0,23.94275055,10,4,29,47,12,0.470895522,0.267109712
0.99252281,0.208168434,0.524838911,14433,0,24.6965065,11,1,22,44,12,0.349058097,0.27825123
0.532116671,0.202320641,0.692453656,13702,0,25.10013247,12,2,22,41,8,0.289426377,0.249233689
